Plot,Rep,SubBlock,Row,Column,Trial,GID,GYTha
1001,1,1,1,1,1,6463633,4.87573099415205
1002,1,1,2,1,1,3822784,4.41154970760234
1003,1,1,3,1,1,6463797,5.57565789473684
1004,1,1,4,1,1,6463812,5.83333333333333
1005,1,1,5,1,1,6463832,5.06396198830409
1006,1,2,6,1,1,6464471,5.75840643274854
1007,1,2,7,1,1,6568003,3.85964912280702
1008,1,2,8,1,1,6683296,4.03874269005848
1009,1,2,9,1,1,6681676,5.61220760233918
1010,1,2,10,1,1,6569575,5.86805555555556
1011,1,3,10,2,1,5398530,6.04897660818713
1012,1,3,9,2,1,6681699,5.35453216374269
1013,1,3,8,2,1,6683402,5.08223684210526
1014,1,3,7,2,1,6683405,2.43603801169591
1015,1,3,6,2,1,6683409,4.73318713450292
1016,1,4,5,2,1,6568075,5.86805555555556
1017,1,4,4,2,1,4755014,5.88633040935672
1018,1,4,3,2,1,6681733,5.17361111111111
1019,1,4,2,2,1,6681737,6.23538011695906
1020,1,4,1,2,1,6683445,6.23720760233918
1021,1,5,1,3,1,6683446,5.09320175438597
1022,1,5,2,3,1,6683449,5.41118421052632
1023,1,5,3,3,1,6683455,5.42214912280702
1024,1,5,4,3,1,6683456,5.83698830409357
1025,1,5,5,3,1,6683462,5.81140350877193
1026,1,6,6,3,1,6128005,4.92141812865497
1027,1,6,7,3,1,6683465,3.32236842105263
1028,1,6,8,3,1,6683476,3.36988304093567
1029,1,6,9,3,1,6683477,5.76571637426901
1030,1,6,10,3,1,6683480,5.61220760233918
1031,1,7,10,4,1,6683482,5.47697368421053
1032,1,7,9,4,1,6683483,6.2719298245614
1033,1,7,8,4,1,4902859,5.43311403508772
1034,1,7,7,4,1,6568106,4.13194444444444
1035,1,7,6,4,1,6683513,4.22331871345029
1036,1,8,5,4,1,6683522,5.92470760233918
1037,1,8,4,4,1,6683541,5.35635964912281
1038,1,8,3,4,1,6681793,5.55738304093567
1039,1,8,2,4,1,3872194,4.53399122807017
1040,1,8,1,4,1,6683550,5.68896198830409
1041,1,9,1,5,1,6681797,5.46600877192982
1042,1,9,2,5,1,6681798,5.28326023391813
1043,1,9,3,5,1,6683560,5.33808479532164
1044,1,9,4,5,1,6568140,4.95979532163743
1045,1,9,5,5,1,6681817,5.32529239766082
1046,1,10,6,5,1,6681820,4.84466374269006
1047,1,10,7,5,1,6681824,4.77521929824561
1048,1,10,8,5,1,6681827,5.94663742690058
1049,1,10,9,5,1,6681828,5.99415204678363
1050,1,10,10,5,1,6683590,5.92288011695906
1051,1,11,10,6,1,6683595,5.08223684210526
1052,1,11,9,6,1,6683597,5.14071637426901
1053,1,11,8,6,1,6568162,4.32017543859649
1054,1,11,7,6,1,6333158,4.52119883040936
1055,1,11,6,6,1,6568164,5.24853801169591
1056,1,12,5,6,1,6568169,4.375
1057,1,12,4,6,1,6681835,5.50255847953216
1058,1,12,3,6,1,6681851,5.15533625730994
1059,1,12,2,6,1,6681853,5.36915204678363
1060,1,12,1,6,1,6683614,5.81505847953216
